tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,visibility,icon
11.1,9.6,10.2,11.1,7.5,9.5,9.0,92.3,12.5,rain,0.0,0.0,31.0,18.1,23.1,1008.3,6.8,rain
12.5,9.8,10.9,12.5,8.9,10.9,8.8,86.9,8.33,rain,0.0,0.0,21.2,11.7,359.6,1016.4,15.2,rain
14.7,7.0,10.5,14.7,5.7,10.2,8.4,87.0,0.0,rain,0.0,0.0,27.0,10.9,247.9,1009.5,9.4,partly-cloudy-day
18.4,6.2,11.6,18.4,2.2,10.6,8.2,80.6,4.17,rain,0.0,0.0,45.4,26.0,331.7,1007.1,14.4,rain
7.5,4.4,5.9,4.9,0.1,2.4,4.5,90.7,16.67,rain,0.0,0.0,58.3,31.9,27.3,1013.0,12.3,rain
8.8,3.8,6.3,5.7,1.5,3.5,1.4,71.5,8.33,rain,0.0,0.0,37.4,22.0,43.5,1021.6,12.9,rain
9.3,5.8,7.2,7.6,2.9,5.3,-0.2,59.8,4.17,rain,0.0,0.0,32.8,17.7,30.0,1019.4,13.8,rain
12.8,4.7,9.0,12.8,3.1,8.3,3.1,67.2,4.17,rain,0.0,0.0,47.5,16.5,219.2,1015.3,19.0,rain
8.0,3.1,5.9,5.8,-0.9,3.1,-2.4,56.7,8.33,rain,0.0,0.0,76.0,28.0,309.0,1014.9,14.8,rain
8.9,5.0,7.8,7.0,4.3,6.0,2.3,69.1,12.5,rain,0.0,0.0,38.5,18.5,283.7,1014.3,16.0,rain
12.5,2.5,7.7,12.5,1.3,7.5,3.0,72.8,4.17,rain,0.0,0.0,22.3,14.4,325.5,1021.7,17.7,rain
13.5,9.1,10.6,13.5,7.1,9.9,8.7,88.1,0.0,rain,0.0,0.0,28.1,13.8,24.4,1012.6,12.3,partly-cloudy-day
14.4,9.7,12.0,14.4,7.7,11.6,8.8,81.0,0.0,rain,0.0,0.0,22.0,14.8,260.8,1009.2,12.8,partly-cloudy-day
18.6,11.0,14.5,18.6,11.0,14.5,10.9,80.0,4.17,rain,0.0,0.0,24.1,14.0,208.6,1010.5,24.0,partly-cloudy-day
14.0,10.2,12.5,14.0,10.2,12.5,9.0,79.9,16.67,rain,0.0,0.0,55.4,32.4,31.4,1018.4,24.1,partly-cloudy-day
